,locus_tag,cog,essential,y-ome
0,b0002,E,,well-annotated
1,b3940,E,,well-annotated
2,b4024,E,,well-annotated
3,b0003,E,,well-annotated
4,b0004,E,,well-annotated
5,b0006,P,,y-ome
6,b0007,E,,y-ome
7,b0008,G,,well-annotated
8,b0825,G,,well-annotated
9,b2464,G,,well-annotated
10,b3946,G,,well-annotated
11,b0009,H,,well-annotated
12,b0782,H,,well-annotated
13,b0010,C,,well-annotated
14,b0011,S,,y-ome
15,b0014,O,,well-annotated
16,b0650,O,,y-ome
17,b2069,O,,y-ome
18,b2526,O,,well-annotated
19,b0015,O,,well-annotated
20,b1000,O,,well-annotated
21,b1559,O,,y-ome
22,b0016,X,,well-annotated
23,b0582,X,,well-annotated
24,b2394,X,,well-annotated
25,b4278,X,,well-annotated
26,b0019,C,,well-annotated
27,b0020,K,,well-annotated
28,b0076,K,,well-annotated
29,b0208,K,,y-ome
30,b0254,K,,y-ome
31,b0316,K,,y-ome
32,b0338,K,,well-annotated
33,b0504,K,,well-annotated
34,b0603,K,,y-ome
35,b0629,K,,y-ome
36,b0768,K,,y-ome
37,b0900,K,,y-ome
38,b1275,K,,well-annotated
39,b1328,K,,well-annotated
40,b1339,K,,y-ome
41,b1422,K,,well-annotated
42,b1526,K,,y-ome
43,b1595,K,,y-ome
44,b1659,K,,y-ome
45,b1799,K,,well-annotated
46,b1987,K,,well-annotated
47,b1988,K,,well-annotated
48,b2015,K,,y-ome
49,b2157,K,,y-ome
50,b2289,K,,well-annotated
51,b2364,K,,well-annotated
52,b2405,K,,well-annotated
53,b2409,K,,y-ome
54,b2537,K,,well-annotated
55,b2577,K,,y-ome
56,b2808,K,,well-annotated
57,b2839,K,,well-annotated
58,b2916,K,,well-annotated
59,b2921,K,,y-ome
60,b3060,K,,well-annotated
61,b3105,K,,well-annotated
62,b3118,K,,well-annotated
63,b3243,K,,well-annotated
64,b3521,K,,y-ome
65,b3585,K,,y-ome
66,b3711,K,,y-ome
67,b4480,K,,well-annotated
68,b3773,K,,well-annotated
69,b3828,K,,well-annotated
70,b3961,K,,well-annotated
71,b4327,K,,well-annotated
72,b0021,X,,well-annotated
73,b0264,X,,well-annotated
74,b0274,X,,well-annotated
75,b0988,X,,well-annotated
76,b1893,X,,well-annotated
77,b3445,X,,well-annotated
78,b0022,X,,well-annotated
79,b0265,X,,well-annotated
80,b0275,X,,well-annotated
81,b4516,X,,well-annotated
82,b1391,X,,y-ome
83,b1894,X,,well-annotated
84,b3444,X,,well-annotated
85,b4294,X,,well-annotated
86,b0023,J,,well-annotated
87,b0025,H,True,well-annotated
88,b0026,J,,well-annotated
89,b0027,M,True,well-annotated
90,b0028,O,,well-annotated
91,b3349,O,,well-annotated
92,b0029,I,True,well-annotated
93,b0030,F,,well-annotated
94,b0651,F,,well-annotated
95,b2162,F,,well-annotated
96,b0031,E,True,well-annotated
97,b0032,E,,well-annotated
98,b0033,E,,well-annotated
99,b0035,R,,y-ome
100,b1400,R,,well-annotated
101,b1428,R,,y-ome
102,b3279,R,,y-ome
103,b0036,I,,well-annotated
104,b1393,I,,well-annotated
105,b1394,I,,well-annotated
106,b2341,I,,well-annotated
107,b2919,I,,well-annotated
108,b3846,I,,well-annotated
109,b0037,I,,well-annotated
110,b1701,I,,well-annotated
111,b1805,I,,well-annotated
112,b2260,I,,well-annotated
113,b2836,I,,well-annotated
114,b0038,I,,well-annotated
115,b2371,I,,well-annotated
116,b2374,I,,well-annotated
