,locus_tag,name,strand,tss,sigma_factor,box_10_left,box_10_right,box_35_left,box_35_right,left,right
0,ECK120008913,astCADBE,-1.0,1832013.0,Sigma70,1832022.0,1832027.0,1832047.0,1832052.0,1825955.0,1832013.0
1,ECK120008914,astCADBE,-1.0,1832044.0,Sigma54,1832054.0,1832058.0,1832065.0,1832070.0,1825955.0,1832044.0
2,ECK120008915,astCADBE,-1.0,1832039.0,Sigma38,1832046.0,1832056.0,1832070.0,1832075.0,1825955.0,1832039.0
3,ECK120008916,nrdHIEF,1.0,2800656.0,Sigma70,2800644.0,2800649.0,2800621.0,2800626.0,2800656.0,2804461.0
4,ECK120008917,cpxPQ,1.0,4105785.0,Sigma70,4105772.0,4105777.0,4105746.0,4105751.0,4105785.0,4106379.0
5,ECK120008918,srkA-dsbA,1.0,4042391.0,Sigma70,4042378.0,4042383.0,4042353.0,4042358.0,4042391.0,4044044.0
6,ECK120008919,dsbA,1.0,4043377.0,Sigma70,4043364.0,4043369.0,4043342.0,4043347.0,4043377.0,4044044.0
7,ECK120008920,aqpZ,-1.0,,,,,,,915352.0,916047.0
8,ECK120008921,dmsABC,1.0,940878.0,,,,,,940878.0,944896.0
9,ECK120008922,moaABCDE,1.0,816914.0,,,,,,816914.0,819747.0
10,ECK120008923,ptsG,1.0,1157766.0,,,,,,1157766.0,1159302.0
11,ECK120008924,ptsG,1.0,1157626.0,Sigma70,1157615.0,1157620.0,,,1157626.0,1159302.0
12,ECK120008925,grcA,-1.0,2716523.0,Sigma70,2716529.0,2716534.0,,,2716066.0,2716523.0
13,ECK120008926,ldcC,1.0,,Sigma38,,,,,209679.0,211820.0
14,ECK120008927,rrsA-ileT-alaT-rrlA-rrfA,1.0,4035239.0,Sigma70,4035225.0,4035230.0,4035203.0,4035208.0,4035239.0,4040636.0
15,ECK120008928,rrsB-gltT-rrlB-rrfB,1.0,4166367.0,Sigma70,4166353.0,4166358.0,4166331.0,4166336.0,4166367.0,4171962.0
16,ECK120008929,rrsC-gltU-rrlC-rrfC,1.0,3941516.0,Sigma70,3941502.0,3941507.0,3941480.0,3941485.0,3941516.0,3947067.0
17,ECK120008930,rrsC-gltU-rrlC-rrfC,1.0,3941633.0,Sigma70,3941621.0,3941626.0,3941599.0,3941604.0,3941633.0,3947067.0
18,ECK120008931,rrsE-gltV-rrlE-rrfE,1.0,4207863.0,Sigma70,4207849.0,4207854.0,4207827.0,4207832.0,4207863.0,4213209.0
19,ECK120008932,rrsG-gltW-rrlG-rrfG,-1.0,2731448.0,Sigma70,2731457.0,2731462.0,2731479.0,2731484.0,2726069.0,2731448.0
20,ECK120008933,rrsG-gltW-rrlG-rrfG,-1.0,2731332.0,Sigma70,2731339.0,2731344.0,2731361.0,2731366.0,2726069.0,2731332.0
21,ECK120008934,rrsH-ileV-alaV-rrlH-rrfH,1.0,223485.0,Sigma70,223471.0,223476.0,,,223485.0,228875.0
22,ECK120008935,rrsH-ileV-alaV-rrlH-rrfH,1.0,223593.0,Sigma70,223581.0,223586.0,,,223593.0,228875.0
23,ECK120008936,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,-1.0,3429047.0,Sigma70,3429056.0,3429061.0,3429078.0,3429083.0,3423371.0,3429047.0
24,ECK120008937,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,-1.0,3428940.0,Sigma70,3428947.0,3428952.0,3428969.0,3428974.0,3423371.0,3428940.0
25,ECK120008938,dnaN-recF,-1.0,3882733.0,Sigma70,3882739.0,3882744.0,3882764.0,3882769.0,3880148.0,3882733.0
26,ECK120008939,dnaN-recF,-1.0,3882590.0,Sigma70,3882593.0,3882598.0,3882620.0,3882625.0,3880148.0,3882590.0
27,ECK120008940,dnaN-recF,-1.0,3882562.0,Sigma70,3882566.0,3882571.0,3882589.0,3882594.0,3880148.0,3882562.0
28,ECK120008941,dnaN-recF,-1.0,3882348.0,Sigma70,3882356.0,3882361.0,3882382.0,3882387.0,3880148.0,3882348.0
29,ECK120008942,gdhA,1.0,1842308.0,Sigma70,1842294.0,1842299.0,1842269.0,1842274.0,1842308.0,1843714.0
30,ECK120008943,sugE,1.0,4376794.0,,,,,,4376794.0,4377192.0
31,ECK120008944,chpSB,1.0,4448428.0,Sigma70,4448418.0,4448423.0,4448397.0,4448402.0,4448428.0,4449042.0
32,ECK120008945,uof-fur,-1.0,710829.0,,,,,,710118.0,710829.0
33,ECK120008946,fldA-uof-fur,-1.0,711521.0,,,,,,710118.0,711521.0
34,ECK120008947,fur,-1.0,710723.0,Sigma70,710724.0,710729.0,710745.0,710750.0,710118.0,710723.0
35,ECK120008948,cbl,-1.0,2060941.0,Sigma70,2060946.0,2060951.0,2060970.0,2060975.0,2059964.0,2060941.0
36,ECK120008949,ftsAZ,1.0,103561.0,Sigma70,103548.0,103553.0,103525.0,103530.0,103561.0,106456.0
37,ECK120008950,fliLMNOPQR,1.0,2019595.0,Sigma28,2019581.0,2019588.0,2019562.0,2019566.0,2019595.0,2023678.0
38,ECK120008951,dctA,-1.0,3683498.0,Sigma70,3683505.0,3683510.0,3683528.0,3683533.0,3682161.0,3683498.0
39,ECK120008952,flxA,1.0,1646388.0,Sigma28,1646374.0,1646381.0,1646355.0,1646359.0,1646388.0,1646737.0
40,ECK120008953,nanATEK-yhcH,-1.0,3373620.0,Sigma70,3373627.0,3373632.0,3373652.0,3373657.0,3369014.0,3373620.0
41,ECK120008954,asr,1.0,1671327.0,Sigma70,1671315.0,1671320.0,1671288.0,1671293.0,1671327.0,1671720.0
42,ECK120008955,fxsA,1.0,4368603.0,Sigma32,4368587.0,4368592.0,4368569.0,4368574.0,4368603.0,4369140.0
43,ECK120008956,pth-ychF,-1.0,1258542.0,Sigma70,1258550.0,1258555.0,1258573.0,1258578.0,1256721.0,1258542.0
44,ECK120008957,ychF,-1.0,1257882.0,Sigma70,1257889.0,1257894.0,1257915.0,1257920.0,1256721.0,1257882.0
45,ECK120008958,cusCFBA,1.0,595573.0,Sigma70,595561.0,595566.0,595534.0,595539.0,595573.0,601857.0
46,ECK120008959,cusRS,-1.0,595462.0,Sigma70,595469.0,595474.0,595491.0,595496.0,593328.0,595462.0
47,ECK120008960,iscRSUA,-1.0,2662199.0,Sigma70,2662207.0,2662212.0,2662230.0,2662235.0,2659563.0,2662199.0
48,ECK120008961,gabDTP,1.0,2791172.0,Sigma70,2791159.0,2791164.0,2791135.0,2791140.0,2791172.0,2795653.0
49,ECK120008962,glcDEFGBA,-1.0,3128076.0,Sigma70,3128085.0,3128090.0,3128108.0,3128113.0,3119597.0,3128076.0
50,ECK120008963,glcC,1.0,3128206.0,Sigma70,3128194.0,3128199.0,3128169.0,3128174.0,3128206.0,3129036.0
51,ECK120008964,osmY,1.0,4611153.0,Sigma70,4611140.0,4611145.0,4611113.0,4611118.0,4611153.0,4612001.0
52,ECK120008965,rlmL-uup,1.0,1007672.0,,,,,,1007672.0,1011871.0
53,ECK120008966,gcd,-1.0,141263.0,Sigma70,141269.0,141274.0,141293.0,141298.0,138801.0,141263.0
54,ECK120008967,ybjC-nfsA-rimK-ybjN,1.0,890892.0,Sigma70,890880.0,890885.0,890855.0,890860.0,890892.0,893433.0
55,ECK120008968,rimK-ybjN,1.0,891876.0,Sigma70,891864.0,891869.0,891841.0,891846.0,891876.0,893433.0
56,ECK120008969,gadX,-1.0,3665839.0,Sigma38,3665849.0,3665859.0,3665871.0,3665876.0,3664915.0,3665839.0
57,ECK120008970,metNIQ,-1.0,222714.0,Sigma70,222722.0,222727.0,222745.0,222750.0,220113.0,222714.0
58,ECK120008971,serA,-1.0,3058549.0,Sigma70,3058551.0,3058556.0,3058575.0,3058580.0,3057178.0,3058549.0
59,ECK120008972,mhpABCDFE,1.0,368519.0,Sigma70,368508.0,368513.0,368482.0,368487.0,368519.0,374881.0
60,ECK120008973,treR,-1.0,4467275.0,Sigma70,4467281.0,4467286.0,4467303.0,4467308.0,4466284.0,4467275.0
61,ECK120008974,treR,-1.0,4467279.0,Sigma70,,,,,4466284.0,4467279.0
62,ECK120008975,treR,-1.0,4467347.0,Sigma70,4467351.0,4467356.0,4467376.0,4467381.0,4466284.0,4467347.0
63,ECK120008976,mgrB,-1.0,1908792.0,,,,,,1908623.0,1908792.0
64,ECK120008977,exbD,-1.0,3151390.0,,,,,,3150552.0,3151390.0
65,ECK120008978,fhuE,-1.0,1161647.0,,,,,,1159325.0,1161647.0
66,ECK120008979,gyrB,-1.0,3880150.0,Sigma70,3880158.0,3880163.0,3880185.0,3880190.0,3877532.0,3880150.0
67,ECK120008980,sufABCDSE,-1.0,1764418.0,Sigma70,1764425.0,1764430.0,1764447.0,1764452.0,1758874.0,1764418.0
68,ECK120008981,micF,1.0,2313084.0,Sigma70,2313071.0,2313076.0,2313045.0,2313050.0,2313084.0,2313176.0
69,ECK120008982,isrC-flu,1.0,2071317.0,Sigma70,2071306.0,2071311.0,2071283.0,2071288.0,2071317.0,2071511.0
70,ECK120008983,metJ,-1.0,4128558.0,,,,,,4128078.0,4128558.0
71,ECK120008984,metJ,-1.0,4128529.0,Sigma70,4128537.0,4128542.0,4128560.0,4128565.0,4128078.0,4128529.0
72,ECK120008985,metJ,-1.0,4128466.0,Sigma70,4128473.0,4128478.0,4128496.0,4128501.0,4128078.0,4128466.0
73,ECK120008986,amiA-hemF,1.0,2552241.0,Sigma70,2552231.0,2552236.0,2552205.0,2552210.0,2552241.0,2554124.0
74,ECK120008987,hemF,1.0,2553205.0,Sigma70,2553195.0,2553200.0,2553173.0,2553178.0,2553205.0,2554124.0
75,ECK120008988,chiA,-1.0,3469896.0,Sigma70,3469903.0,3469908.0,3469926.0,3469931.0,3467160.0,3469896.0
76,ECK120008989,cydAB,1.0,771202.0,Sigma70,771192.0,771197.0,771171.0,771176.0,771202.0,774181.0
77,ECK120008990,cydAB,1.0,771213.0,Sigma70,771201.0,771206.0,771177.0,771182.0,771213.0,774181.0
78,ECK120008991,cydAB,1.0,771368.0,Sigma70,771357.0,771362.0,771336.0,771341.0,771368.0,774181.0
79,ECK120008992,rrsB-gltT-rrlB-rrfB,1.0,4166484.0,Sigma70,4166472.0,4166477.0,4166450.0,4166455.0,4166484.0,4171962.0
80,ECK120008993,bacA,-1.0,3204175.0,Sigma24,3204181.0,3204185.0,3204202.0,3204207.0,3203310.0,3204175.0
81,ECK120008994,argR,1.0,3384602.0,,,,,,3384602.0,3385173.0
82,ECK120008995,asnW,-1.0,,,,,,,2057926.0,2058102.0
83,ECK120008996,argT-hisJQMP,-1.0,2427849.0,Sigma54,2427859.0,2427863.0,2427870.0,2427875.0,2423736.0,2427849.0
84,ECK120008997,yeaGH,1.0,1866815.0,Sigma54,1866801.0,1866805.0,1866789.0,1866794.0,1866815.0,1870238.0
85,ECK120008998,yhdWXYZ,1.0,3418972.0,Sigma54,,,,,3418972.0,3423194.0
86,ECK120008999,ddpXABCDF,-1.0,1563107.0,Sigma54,1563120.0,1563124.0,1563131.0,1563136.0,1557112.0,1563107.0
87,ECK120009002,rutABCDEFG,-1.0,1074026.0,Sigma54,1074039.0,1074043.0,1074050.0,1074055.0,1068511.0,1074026.0
88,ECK120009003,acs-yjcHG,-1.0,4287595.0,Sigma70,4287604.0,4287609.0,4287631.0,4287636.0,4283253.0,4287595.0
89,ECK120009004,acs-yjcHG,-1.0,4287391.0,Sigma70,4287397.0,4287404.0,4287413.0,4287421.0,4283253.0,4287391.0
90,ECK120009005,metBL,1.0,4128636.0,Sigma70,4128623.0,4128628.0,4128600.0,4128605.0,4128636.0,4132456.0
91,ECK120009006,nhaAR,1.0,17317.0,Sigma38,17303.0,17313.0,17286.0,17291.0,17317.0,19620.0
92,ECK120009007,proP,1.0,4330407.0,Sigma38,4330390.0,4330400.0,4330372.0,4330377.0,4330407.0,4332004.0
93,ECK120009008,sra,-1.0,1556046.0,Sigma38,1556054.0,1556064.0,1556078.0,1556083.0,1555826.0,1556046.0
94,ECK120009009,ftsQ,1.0,102742.0,Sigma38,102727.0,102737.0,102708.0,102713.0,102742.0,103985.0
