,locus_tag,left,right,mode,final_state,tf,strand
0,ECK120011181,612650.0,612668,repressor,Fur-Fe<sup>2+</sup>,Fur,
1,ECK120011181,612650.0,612668,repressor,Fur-Fe<sup>2+</sup>,Fur,
2,ECK120011184,4516744.0,4516762,repressor,Fur-Fe<sup>2+</sup>,Fur,
3,ECK120011188,1619005.0,1619019,activator,Fis,Fis,
4,ECK120011192,1619022.0,1619041,activator,Rob,Rob,
5,ECK120011197,3305958.0,3305975,activator,TyrR-L-tyrosine,TyrR,
6,ECK120011200,1386588.0,1386605,repressor,TyrR,TyrR,
7,ECK120011204,2344582.0,2344601,activator,ArgP,ArgP,
8,ECK120011206,2344555.0,2344574,activator,ArgP,ArgP,
9,ECK120011208,2344527.0,2344546,activator,ArgP,ArgP,
10,ECK120011212,180765.0,180783,activator,CpxR-phosphorylated,CpxR,
11,ECK120011214,4042341.0,4042342,activator,CpxR-phosphorylated,CpxR,
12,ECK120011216,180621.0,180622,activator,CpxR-phosphorylated,CpxR,
13,ECK120011218,3492381.0,3492382,activator,CpxR-phosphorylated,CpxR,
14,ECK120011226,940850.0,940862,repressor,IHF,IHF,
15,ECK120011231,816781.0,816794,activator,FNR,FNR,
16,ECK120011238,1157715.0,1157736,activator,CRP-cyclic-AMP,CRP,
17,ECK120011242,1157749.0,1157771,repressor,Mlc,Mlc,
18,ECK120011244,1157580.0,1157602,repressor,Mlc,Mlc,
19,ECK120011246,2716610.0,2716623,repressor,FNR,FNR,
20,ECK120011248,2716557.0,2716570,activator,FNR,FNR,
21,ECK120011248,2716557.0,2716570,repressor,FNR,FNR,
22,ECK120011253,3493838.0,3493852,repressor,Fis,Fis,
23,ECK120011255,963666.0,963678,repressor,IHF,IHF,
24,ECK120011255,963666.0,963678,repressor,IHF,IHF,
25,ECK120011257,963586.0,963598,repressor,IHF,IHF,
26,ECK120011257,963586.0,963598,repressor,IHF,IHF,
27,ECK120011259,963536.0,963548,repressor,IHF,IHF,
28,ECK120011259,963536.0,963548,repressor,IHF,IHF,
29,ECK120011261,963439.0,963451,repressor,IHF,IHF,
30,ECK120011261,963439.0,963451,repressor,IHF,IHF,
31,ECK120011263,963423.0,963435,repressor,IHF,IHF,
32,ECK120011263,963423.0,963435,repressor,IHF,IHF,
33,ECK120011267,2062046.0,2062060,repressor,Nac,Nac,
34,ECK120011272,2062122.0,2062138,activator,NtrC-phosphorylated,NtrC,
35,ECK120011274,1842325.0,1842339,repressor,Nac,Nac,
36,ECK120011276,1842276.0,1842290,repressor,Nac,Nac,
37,ECK120011278,1842220.0,1842234,repressor,Nac,Nac,
38,ECK120011280,1842345.0,1842359,repressor,Nac,Nac,
39,ECK120011282,3927031.0,3927045,repressor,Nac,Nac,
40,ECK120011284,3927088.0,3927102,repressor,Nac,Nac,
