,gene_name,synonyms,gene_product,COG,regulator,uniprot,left,right,strand,essential,core_genome,iML1515,oxidizeME,DGF_strain,MS57,pseudogene,y_ome,k_eff,schmidt_prot_med,heckmann_prot_med,proteomics,p1k,p1k_ctrl_log_tpm,p1k_median_log_tpm,p1k_mad_log_tpm,in_iM,median_log_tpm,mad_log_tpm,pct10_log_tpm,pct25_log_tpm,max_log_tpm,min_log_tpm,mean_log_tpm,skew,range_log_tpm,max_to_median,min_to_median,low,in_complex
b0001,thrL,thrL,thr operon leader peptide,No COG annotation,,P0AD86,190,255,+,False,False,False,False,True,True,False,False,False,,,False,False,10.372833103148237,8.862343332133676,1.9369518045528096,False,8.862343332133676,1.3064560937223861,6.415949562362649,7.633022465727272,14.327388096157016,0.0,9.079599429724905,0.24852599456740837,14.327388096157016,5.4650447640233395,-8.862343332133676,False,True
b0002,thrA,thrA;thrA1;thrA2,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,Fnr,ArcA,ppGpp",P00561,337,2799,+,False,False,True,True,True,True,False,False,True,4101.5,4434.0,True,True,10.31456227,9.60532895,1.0421427130379994,True,9.60532895,0.7029156299999997,7.4845145374,8.701392792,11.77190129,0.0,9.26879115411972,-1.9466208615965443,11.77190129,2.16657234,-9.60532895,False,True
b0003,thrB,thrB,homoserine kinase,Nucleotide transport and metabolism,"RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp",P00547,2801,3733,+,False,False,True,True,True,True,False,False,True,442.0,1177.0,True,True,9.9822505955,9.232802827,1.035653779070399,True,9.232802827,0.6985389039999994,7.3649463104,8.39028573342765,11.46013964,4.491162248,8.992904459476103,-0.9557419241613481,6.968977391999999,2.227336812999999,-4.741640579,False,True
b0004,thrC,thrC,threonine synthase,Amino acid transport and metabolism,"RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA",P00934,3734,5020,+,False,False,True,True,True,True,False,False,True,8818.5,3516.0,True,True,9.973666136,9.274270585,0.9062870727456012,True,9.274270585,0.6112822560000009,7.47173063964054,8.4772733805,11.31996409,4.332272969,8.973293935120786,-1.3131234496427633,6.987691120999999,2.045693504999999,-4.941997616,False,True
b0005,yaaX,yaaX,DUF2502 domain-containing protein YaaX,Function unknown,Lrp,P75616,5234,5530,+,False,False,False,False,True,True,False,True,False,,,False,True,7.1324817945,6.283660806,1.0931461738217991,True,6.283660806,0.7373169929999994,4.012662614649439,5.303001283,11.81791764,0.0,6.008284443920497,-0.431862888659083,11.81791764,5.534256833999999,-6.283660806,False,False
b0006,yaaA,yaaA,peroxide stress resistance protein YaaA,Function unknown,,P0A8I3,5683,6459,-,False,False,False,False,True,True,False,True,True,539.5,333.0,True,True,6.4949411375,6.346626025,0.4545190303836,True,6.346626025,0.306568886,5.392245544552741,5.879563068065028,10.58328586,4.190853229,6.250967822168344,0.9911478128290975,6.392432631,4.236659835,-2.155772796,False,False
b0007,yaaJ,yaaJ,putative transporter YaaJ,Amino acid transport and metabolism,,P30143,6529,7959,-,False,False,True,True,True,True,False,True,False,,,False,True,2.9885548745,3.382637068201853,0.7180482074713328,True,3.382637068201853,0.48431688079814705,2.6175380306,2.980142518350374,6.938948462000001,1.707746094,3.6100068061359805,0.8995214585189878,5.231202368000001,3.556311393798148,-1.674890974201853,False,False
b0008,talB,talB;yaaK,transaldolase B,Carbohydrate transport and metabolism,,P0A870,8238,9191,+,False,False,True,True,True,True,False,False,True,9899.0,7449.0,True,True,10.68361468,10.40185081,0.4932803086260012,False,10.40185081,0.33271301000000086,9.432039232800001,9.97480703063475,12.56155784,8.100862697872094,10.314186665446615,-0.404392166285318,4.460695142127907,2.1597070300000016,-2.3009881121279054,False,False
b0009,mog,mog;chlG;mogA;yaaG,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,,P0AF03,9306,9893,+,False,False,True,True,True,True,False,False,True,24.0,222.0,True,True,5.9642162795,6.016844178,0.5004432877148373,True,6.016844178,0.3375443732057448,5.441188588870767,5.691703814590339,8.075032621,3.057654524537733,6.015029255820578,-0.3714385537458348,5.0173780964622665,2.0581884429999997,-2.9591896534622673,False,False
b0010,satP,satP;yaaH,acetate/succinate:H(+) symporter,Function unknown,ppGpp,P0AC98,9928,10494,-,False,False,True,False,True,True,False,False,False,,,False,True,4.7168462575,4.49441852,0.6492068643606004,False,4.49441852,0.4378840310000003,3.4989223278,3.9918164495,7.368943887,1.6824882230000002,4.436667223893758,-0.08069682259214188,5.686455664,2.8745253670000004,-2.811930297,False,False
