,pangenome_gene_id,percent,align_length,n_mismatch,n_gapopen,bitome_feat_start,bitome_feat_end,genome_start,genome_end,e_value,bit_score,pan_gene_full_id,feature_id,chrom_plasm_id,genome_id,mg_seq_len,allele_id
3356,fig:562.46071.peg.3021__CP038857__up,100.0,277,0,0,1,277,101,377,3.4299999999999996e-146,512.0,fig|562.46071.peg.3021__CP038857__up,fig|562.46071.peg.3021,CP038857,delete562.46071,277,0.0
2787,fig:562.70513.peg.3411__CP068813__up,99.278,277,2,0,1,277,101,377,7.02e-143,501.0,fig|562.70513.peg.3411__CP068813__up,fig|562.70513.peg.3411,CP068813,delete562.70513,277,4.0
2983,fig:562.67796.peg.3112__LR883006__up,100.0,277,0,0,1,277,101,377,3.34e-146,512.0,fig|562.67796.peg.3112__LR883006__up,fig|562.67796.peg.3112,LR883006,delete562.67796,277,0.0
3010,fig:83334.637.peg.3752__CP104309__up,100.0,277,0,0,1,277,101,377,3.24e-146,512.0,fig|83334.637.peg.3752__CP104309__up,fig|83334.637.peg.3752,CP104309,delete83334.637,277,0.0
2993,fig:562.102351.peg.3286__CP095083__up,99.639,277,1,0,1,277,101,377,1.52e-144,507.0,fig|562.102351.peg.3286__CP095083__up,fig|562.102351.peg.3286,CP095083,delete562.102351,277,5.0
3296,fig:562.76274.peg.1846__CP076043__up,100.0,277,0,0,1,277,101,377,3.4299999999999996e-146,512.0,fig|562.76274.peg.1846__CP076043__up,fig|562.76274.peg.1846,CP076043,delete562.76274,277,0.0
3055,fig:562.45432.peg.310__CP034404__up,100.0,277,0,0,1,277,101,377,3.37e-146,512.0,fig|562.45432.peg.310__CP034404__up,fig|562.45432.peg.310,CP034404,delete562.45432,277,0.0
2993,fig:562.61495.peg.4072__CP054314__up,100.0,277,0,0,1,277,101,377,3.6000000000000002e-146,512.0,fig|562.61495.peg.4072__CP054314__up,fig|562.61495.peg.4072,CP054314,delete562.61495,277,0.0
3342,fig:562.109772.peg.3157__CP103529__up,99.639,277,1,0,1,277,101,377,1.59e-144,507.0,fig|562.109772.peg.3157__CP103529__up,fig|562.109772.peg.3157,CP103529,delete562.109772,277,3.0
2926,fig:562.28203.peg.1082__CP025703__up,99.278,277,2,0,1,277,101,377,6.699999999999999e-143,501.0,fig|562.28203.peg.1082__CP025703__up,fig|562.28203.peg.1082,CP025703,delete562.28203,277,1.0
3327,fig:562.96035.peg.3108__CP060969__up,100.0,277,0,0,1,277,101,377,3.3899999999999996e-146,512.0,fig|562.96035.peg.3108__CP060969__up,fig|562.96035.peg.3108,CP060969,delete562.96035,277,0.0
