,pangenome_gene_id,percent,align_length,n_mismatch,n_gapopen,bitome_feat_start,bitome_feat_end,genome_start,genome_end,e_value,bit_score,pan_gene_full_id,feature_id,chrom_plasm_id,genome_id,mg_seq_len,allele_id
5028,fig:562.46071.peg.2085__CP038857__up,100.0,304,0,0,1,304,101,404,3.6800000000000005e-161,562.0,fig|562.46071.peg.2085__CP038857__up,fig|562.46071.peg.2085,CP038857,delete562.46071,304,0.0
4235,fig:562.70513.peg.2508__CP068813__up,100.0,304,0,0,1,304,101,404,3.49e-161,562.0,fig|562.70513.peg.2508__CP068813__up,fig|562.70513.peg.2508,CP068813,delete562.70513,304,0.0
4467,fig:562.67796.peg.2161__LR883006__up,99.671,304,1,0,1,304,101,404,1.67e-159,556.0,fig|562.67796.peg.2161__LR883006__up,fig|562.67796.peg.2161,LR883006,delete562.67796,304,1.0
4488,fig:83334.637.peg.2319__CP104309__up,100.0,304,0,0,1,304,101,404,3.49e-161,562.0,fig|83334.637.peg.2319__CP104309__up,fig|83334.637.peg.2319,CP104309,delete83334.637,304,0.0
4486,fig:562.102351.peg.2244__CP095083__up,98.355,304,5,0,1,304,101,404,7.68e-153,534.0,fig|562.102351.peg.2244__CP095083__up,fig|562.102351.peg.2244,CP095083,delete562.102351,304,7.0
4916,fig:562.76274.peg.984__CP076043__up,100.0,304,0,0,1,304,101,404,3.6900000000000005e-161,562.0,fig|562.76274.peg.984__CP076043__up,fig|562.76274.peg.984,CP076043,delete562.76274,304,0.0
4655,fig:562.45432.peg.1217__CP034404__up,100.0,304,0,0,1,304,101,404,3.62e-161,562.0,fig|562.45432.peg.1217__CP034404__up,fig|562.45432.peg.1217,CP034404,delete562.45432,304,0.0
4489,fig:562.61495.peg.5130__CP054314__up,99.671,304,1,0,1,304,101,404,1.81e-159,556.0,fig|562.61495.peg.5130__CP054314__up,fig|562.61495.peg.5130,CP054314,delete562.61495,304,1.0
5068,fig:562.109772.peg.2308__CP103529__up,100.0,304,0,0,1,304,101,404,3.6700000000000004e-161,562.0,fig|562.109772.peg.2308__CP103529__up,fig|562.109772.peg.2308,CP103529,delete562.109772,304,0.0
4339,fig:562.28203.peg.1880__CP025703__up,99.013,304,3,0,1,304,101,404,3.3700000000000004e-156,545.0,fig|562.28203.peg.1880__CP025703__up,fig|562.28203.peg.1880,CP025703,delete562.28203,304,8.0
5266,fig:562.96035.peg.2161__CP060969__up,99.342,304,2,0,1,304,101,404,7.89e-158,551.0,fig|562.96035.peg.2161__CP060969__up,fig|562.96035.peg.2161,CP060969,delete562.96035,304,4.0
5129,fig:562.9018.peg.1790__LM993812__up,100.0,304,0,0,1,304,101,404,3.84e-161,562.0,fig|562.9018.peg.1790__LM993812__up,fig|562.9018.peg.1790,LM993812,delete562.9018,304,0.0
4502,fig:83334.298.peg.3169__CP038494__up,100.0,304,0,0,1,304,101,404,3.49e-161,562.0,fig|83334.298.peg.3169__CP038494__up,fig|83334.298.peg.3169,CP038494,delete83334.298,304,0.0
