,pangenome_gene_id,percent,align_length,n_mismatch,n_gapopen,bitome_feat_start,bitome_feat_end,genome_start,genome_end,e_value,bit_score,pan_gene_full_id,feature_id,chrom_plasm_id,genome_id,mg_seq_len,allele_id
4361,fig:562.46071.peg.4222__CP038857__up,98.467,261,4,0,1,261,101,361,1.19e-130,460.0,fig|562.46071.peg.4222__CP038857__up,fig|562.46071.peg.4222,CP038857,delete562.46071,262,2
3662,fig:562.70513.peg.4659__CP068813__up,100.0,262,0,0,1,262,101,362,6.66e-138,484.0,fig|562.70513.peg.4659__CP068813__up,fig|562.70513.peg.4659,CP068813,delete562.70513,262,0
3870,fig:562.67796.peg.4272__LR883006__up,100.0,262,0,0,1,262,101,362,6.85e-138,484.0,fig|562.67796.peg.4272__LR883006__up,fig|562.67796.peg.4272,LR883006,delete562.67796,262,0
3898,fig:83334.637.peg.5064__CP104309__up,99.234,261,2,0,1,261,101,361,5.19e-134,472.0,fig|83334.637.peg.5064__CP104309__up,fig|83334.637.peg.5064,CP104309,delete83334.637,262,1
3883,fig:562.102351.peg.4692__CP095083__up,100.0,262,0,0,1,262,101,362,6.719999999999999e-138,484.0,fig|562.102351.peg.4692__CP095083__up,fig|562.102351.peg.4692,CP095083,delete562.102351,262,0
4262,fig:562.76274.peg.2857__CP076043__up,100.0,262,0,0,1,262,101,362,7.039999999999999e-138,484.0,fig|562.76274.peg.2857__CP076043__up,fig|562.76274.peg.2857,CP076043,delete562.76274,262,0
4013,fig:562.45432.peg.4019__CP034404__up,100.0,262,0,0,1,262,101,362,6.91e-138,484.0,fig|562.45432.peg.4019__CP034404__up,fig|562.45432.peg.4019,CP034404,delete562.45432,262,0
3897,fig:562.61495.peg.2642__CP054314__up,98.467,261,4,0,1,261,101,361,1.2500000000000001e-130,460.0,fig|562.61495.peg.2642__CP054314__up,fig|562.61495.peg.2642,CP054314,delete562.61495,262,2
4386,fig:562.109772.peg.4406__CP103529__up,98.467,261,4,0,1,261,101,361,1.18e-130,460.0,fig|562.109772.peg.4406__CP103529__up,fig|562.109772.peg.4406,CP103529,delete562.109772,262,2
4563,fig:562.96035.peg.4236__CP060969__up,100.0,262,0,0,1,262,101,362,6.959999999999999e-138,484.0,fig|562.96035.peg.4236__CP060969__up,fig|562.96035.peg.4236,CP060969,delete562.96035,262,0
4441,fig:562.9018.peg.4356__LM993812__up,100.0,262,0,0,1,262,101,362,7.33e-138,484.0,fig|562.9018.peg.4356__LM993812__up,fig|562.9018.peg.4356,LM993812,delete562.9018,262,0
3911,fig:83334.298.peg.534__CP038494__up,99.234,261,2,0,1,261,101,361,5.19e-134,472.0,fig|83334.298.peg.534__CP038494__up,fig|83334.298.peg.534,CP038494,delete83334.298,262,1
3929,fig:562.29117.peg.3930__CP027582__up,98.851,261,2,1,1,261,102,361,9.04e-132,464.0,fig|562.29117.peg.3930__CP027582__up,fig|562.29117.peg.3930,CP027582,delete562.29117,262,22
4651,fig:562.109786.peg.4085__CP103694__up,99.618,262,1,0,1,262,101,362,3.2399999999999997e-136,479.0,fig|562.109786.peg.4085__CP103694__up,fig|562.109786.peg.4085,CP103694,delete562.109786,262,16
4826,fig:562.79203.peg.4372__CP081706__up,98.467,261,4,0,1,261,101,361,1.16e-130,460.0,fig|562.79203.peg.4372__CP081706__up,fig|562.79203.peg.4372,CP081706,delete562.79203,262,2
3854,fig:562.108466.peg.2519__CP075716__up,98.467,261,4,0,1,261,101,361,1.16e-130,460.0,fig|562.108466.peg.2519__CP075716__up,fig|562.108466.peg.2519,CP075716,delete562.108466,262,2
3850,fig:562.28693.peg.483__CP027221__up,99.237,262,2,0,1,262,101,362,1.4699999999999998e-134,473.0,fig|562.28693.peg.483__CP027221__up,fig|562.28693.peg.483,CP027221,delete562.28693,262,3
3999,fig:562.61492.peg.402__CP054371__up,99.234,261,2,0,1,261,101,361,5.24e-134,472.0,fig|562.61492.peg.402__CP054371__up,fig|562.61492.peg.402,CP054371,delete562.61492,262,1
4251,fig:562.17620.peg.2092__CP021732__up,98.467,261,4,0,1,261,101,361,1.15e-130,460.0,fig|562.17620.peg.2092__CP021732__up,fig|562.17620.peg.2092,CP021732,delete562.17620,262,2
4644,fig:562.114657.peg.4813__CP024134__up,98.467,261,4,0,1,261,101,361,1.19e-130,460.0,fig|562.114657.peg.4813__CP024134__up,fig|562.114657.peg.4813,CP024134,delete562.114657,262,2
4061,fig:562.25386.peg.1441__CP025036__up,99.237,262,2,0,1,262,101,362,1.5e-134,473.0,fig|562.25386.peg.1441__CP025036__up,fig|562.25386.peg.1441,CP025036,delete562.25386,262,3
4463,fig:562.55237.peg.428__CP047594__up,98.467,261,4,0,1,261,101,361,1.2000000000000002e-130,460.0,fig|562.55237.peg.428__CP047594__up,fig|562.55237.peg.428,CP047594,delete562.55237,262,2
4515,fig:562.67791.peg.4078__LR882973__up,99.234,261,2,0,1,261,101,361,5.359999999999997e-134,472.0,fig|562.67791.peg.4078__LR882973__up,fig|562.67791.peg.4078,LR882973,delete562.67791,262,1
3661,fig:562.70514.peg.4141__CP068823__up,98.467,261,4,0,1,261,101,361,1.1000000000000001e-130,460.0,fig|562.70514.peg.4141__CP068823__up,fig|562.70514.peg.4141,CP068823,delete562.70514,262,2
