,pangenome_gene_id,percent,align_length,n_mismatch,n_gapopen,bitome_feat_start,bitome_feat_end,genome_start,genome_end,e_value,bit_score,pan_gene_full_id,feature_id,chrom_plasm_id,genome_id,mg_seq_len,allele_id
3897,fig:562.46071.peg.2261__CP038857__up,99.281,278,2,0,1,278,101,378,2.07e-143,503.0,fig|562.46071.peg.2261__CP038857__up,fig|562.46071.peg.2261,CP038857,delete562.46071,278,14.0
3255,fig:562.70513.peg.2728__CP068813__up,96.763,278,9,0,1,278,101,378,9.25e-132,464.0,fig|562.70513.peg.2728__CP068813__up,fig|562.70513.peg.2728,CP068813,delete562.70513,278,6.0
3466,fig:562.67796.peg.2333__LR883006__up,99.64,278,1,0,1,278,101,378,4.33e-145,508.0,fig|562.67796.peg.2333__LR883006__up,fig|562.67796.peg.2333,LR883006,delete562.67796,278,4.0
3478,fig:83334.637.peg.2492__CP104309__up,99.281,278,2,0,1,278,101,378,1.96e-143,503.0,fig|83334.637.peg.2492__CP104309__up,fig|83334.637.peg.2492,CP104309,delete83334.637,278,2.0
3460,fig:562.102351.peg.2418__CP095083__up,96.403,278,10,0,1,278,101,378,4.3500000000000004e-130,459.0,fig|562.102351.peg.2418__CP095083__up,fig|562.102351.peg.2418,CP095083,delete562.102351,278,10.0
3805,fig:562.76274.peg.1159__CP076043__up,100.0,278,0,0,1,278,101,378,9.569999999999999e-147,514.0,fig|562.76274.peg.1159__CP076043__up,fig|562.76274.peg.1159,CP076043,delete562.76274,278,0.0
3581,fig:562.45432.peg.1039__CP034404__up,98.913,276,3,0,3,278,103,378,1.22e-140,494.0,fig|562.45432.peg.1039__CP034404__up,fig|562.45432.peg.1039,CP034404,delete562.45432,278,1.0
3483,fig:562.61495.peg.4932__CP054314__up,98.561,278,4,0,1,278,101,378,4.709999999999999e-140,492.0,fig|562.61495.peg.4932__CP054314__up,fig|562.61495.peg.4932,CP054314,delete562.61495,278,45.0
3906,fig:562.109772.peg.2485__CP103529__up,100.0,278,0,0,1,278,101,378,9.519999999999999e-147,514.0,fig|562.109772.peg.2485__CP103529__up,fig|562.109772.peg.2485,CP103529,delete562.109772,278,0.0
3363,fig:562.28203.peg.1709__CP025703__up,96.403,278,10,0,1,278,101,378,4.11e-130,459.0,fig|562.28203.peg.1709__CP025703__up,fig|562.28203.peg.1709,CP025703,delete562.28203,278,8.0
4024,fig:562.96035.peg.2338__CP060969__up,100.0,278,0,0,1,278,101,378,9.47e-147,514.0,fig|562.96035.peg.2338__CP060969__up,fig|562.96035.peg.2338,CP060969,delete562.96035,278,0.0
3489,fig:83334.298.peg.2995__CP038494__up,99.281,278,2,0,1,278,101,378,1.96e-143,503.0,fig|83334.298.peg.2995__CP038494__up,fig|83334.298.peg.2995,CP038494,delete83334.298,278,2.0
3509,fig:562.29117.peg.1305__CP027582__up,98.913,276,3,0,3,278,103,378,1.23e-140,494.0,fig|562.29117.peg.1305__CP027582__up,fig|562.29117.peg.1305,CP027582,delete562.29117,278,1.0
4099,fig:562.109786.peg.2257__CP103694__up,100.0,278,0,0,1,278,101,378,9.47e-147,514.0,fig|562.109786.peg.2257__CP103694__up,fig|562.109786.peg.2257,CP103694,delete562.109786,278,0.0
4187,fig:562.79203.peg.2378__CP081706__up,97.842,278,6,0,1,278,101,378,9.51e-137,481.0,fig|562.79203.peg.2378__CP081706__up,fig|562.79203.peg.2378,CP081706,delete562.79203,278,12.0
3442,fig:562.108466.peg.589__CP075716__up,98.913,276,3,0,3,278,103,378,1.22e-140,494.0,fig|562.108466.peg.589__CP075716__up,fig|562.108466.peg.589,CP075716,delete562.108466,278,9.0
