BNUM,GENE_NAME
b4053,alr
b4053,EG10001
b4053,ECK4045
b4053,alr5
b0764,modB
b0764,EG10002
b0764,ECK0753
b0764,tslJ
b0764,chlJ
b2413,cysZ
b2413,ECK2408
b2413,EG10003
b3639,dfp
b3639,coaBC
b3639,ECK3629
b3639,EG10004
b4123,dcuB
b4123,genF
b4123,ECK4116
b4123,EG10006
b2307,hisM
b2307,ECK2301
b2307,EG10007
b4003,zraS
b4003,ECK3995
b4003,hydH
b4003,EG10008
b1456,rhsE
b1456,EG10010
b1456,ECK1450
b0006,yaaA
b0006,EG10011
b0006,ECK0006
b0886,cydC
b0886,mdrA
b0886,EG10012
b0886,ECK0877
b0886,ycaB
b0886,surB
b0886,mdrH
b1856,mepM
b1856,yebA
b1856,ECK1857
b1856,EG10013
b2470,acrD
b2470,yffA
b2470,ECK2465
b2470,EG10014
b2516,rodZ
b2516,ECK2512
b2516,EG10015
b2516,yfgA
b3126,garL
b3126,ECK3114
b3126,yhaF
b3126,EG10016
b3187,ispB
b3187,EG10017
b3187,ECK3176
b3187,cel
b3187,yhbD
b3252,csrD
b3252,EG10018
b3252,ECK3240
b3252,yhdA
b3912,cpxR
b3912,yiiA
b3912,ECK3905
b3912,EG10020
b4352,yjiA
b4352,ECK4342
b4352,EG10021
b4015,aceA
b4015,EG10022
b4015,icl
b4015,ECK4007
b4014,aceB
b4014,mas
b4014,ECK4006
b4014,EG10023
b0114,aceE
b0114,ECK0113
b0114,EG10024
b0115,aceF
b0115,EG10025
b0115,ECK0114
b4016,aceK
b4016,EG10026
b4016,ECK4008
b2296,ackA
b2296,EG10027
b2296,ECK2290
b0902,pflA
b0902,act
b0902,ECK0893
b0902,EG10028
b2213,ada
b2213,EG10029
b2213,ECK2205
b1623,add
b1623,EG10030
b1623,ECK1618
b1241,adhE
b1241,ana
b1241,EG10031
b1241,adhC
b1241,ECK1235
b0474,adk
b0474,plsA
b0474,dnaW
b0474,ECK0468
b0474,EG10032
b1002,agp
b1002,ECK0993
b1002,EG10033
b2697,alaS
b2697,lovB
b2697,ala-act
b2697,act
b2697,EG10034
b2697,ECK2692
b1415,aldA
b1415,ECK1408
b1415,EG10035
b1415,ald
b1300,puuC
b1300,EG10036
b1300,ECK1295
b1300,aldH
b2212,alkB
b2212,EG10037
b2212,ECK2204
b2212,aidD
b1982,amn
b1982,ECK1977
b1982,EG10039
b4150,ampC
b4150,ampA
b4150,EG10040
b4150,ECK4146
b0110,ampD
b0110,ECK0109
b0110,EG10041
b0111,ampE
b0111,EG10042
b0111,ECK0110
b4214,cysQ
b4214,amt
b4214,ECK4210
b4214,EG10043
b4214,amtA
b1739,osmE
b1739,EG10044
b1739,ECK1737
b1739,anr
b1767,ansA
b1767,ECK1765
b1767,EG10045
b2957,ansB
b2957,ECK2952
b2957,EG10046
b0050,apaG
b0050,ECK0051
b0050,EG10047
b0049,apaH
b0049,cfcB
b0049,EG10048
b0049,ECK0050
b0980,appA
b0980,EG10049
b0980,ECK0971
b0564,appY
b0564,ECK0556
b0564,EG10050
b0469,apt
b0469,EG10051
b0469,ECK0463
b0062,araA
b0062,EG10052
b0062,ECK0063
b0063,araB
b0063,EG10053
b0063,ECK0064
b0064,araC
b0064,EG10054
b0064,ECK0065
b0061,araD
b0061,EG10055
b0061,ECK0062
b2841,araE
b2841,ECK2839
b2841,EG10056
b1901,araF
b1901,EG10057
b1901,ECK1899
b1900,araG
b1900,ECK1898
b1900,EG10058
b4460,araH
b4460,EG10059
b4460,ECK1897
b4460,b1899
b4460,b1898
b0396,araJ
b0396,ECK0390
b0396,EG10060
b0396,araT
b4401,arcA
b4401,seg
b4401,ECK4393
b4401,EG10061
b4401,msp
b4401,fexA
b4401,dye
b4401,cpxC
b4401,sfrA
b3210,arcB
b3210,ECK3200
b3210,EG10062
b2818,argA
b2818,EG10063
b2818,ECK2814
b2818,Arg1
b2818,Arg2
b3959,argB
b3959,ECK3950
b3959,EG10064
b3958,argC
b3958,EG10065
b3958,ECK3949
b3958,Arg2
b3359,argD
b3359,EG10066
b3359,ECK3347
b3359,dtu
b3359,dapC
b3359,Arg1
b0273,argF
b0273,EG10067
b0273,ECK0274
b3172,argG
b3172,EG10068
b3172,ECK3161
b4254,argI
b4254,ECK4247
b4254,EG10069
b3237,argR
b3237,ECK3226
b3237,Rarg
b3237,xerA
b3237,EG10070
b1876,argS
b1876,lov
b1876,lov-1
b1876,EG10071
b1876,ECK1877
b2310,argT
b2310,EG10072
b2310,ECK2304
b0908,aroA
b0908,ECK0899
b0908,EG10073
b3389,aroB
b3389,ECK3376
b3389,EG10074
b2329,aroC
b2329,ECK2323
b2329,EG10075
b1693,aroD
b1693,ECK1691
b1693,EG10076
b3281,aroE
b3281,EG10077
b3281,ECK3268
b2601,aroF
b2601,EG10078
b2601,ECK2598
b0754,aroG
b0754,ECK0743
b0754,EG10079
b1704,aroH
b1704,EG10080
b1704,ECK1702
b3390,aroK
b3390,ECK3377
b3390,EG10081
b0388,aroL
b0388,ECK0383
b0388,EG10082
b0390,aroM
b0390,EG10083
b0390,ECK0385
b0112,aroP
b0112,ECK0111
b0112,aroR
b0112,EG10084
b2716,ascB
b2716,ECK2711
b2716,sac
b2716,EG10085
b2715,ascF
b2715,sac
b2715,ECK2710
b2715,EG10086
b2714,ascG
b2714,sac
b2714,EG10087
b2714,ECK2709
b3433,asd
b3433,hom
b3433,dap
b3433,EG10088
b3433,ECK3419
b3801,aslA
b3801,atsA
b3801,ECK3794
b3801,EG10089
b3801,gppB
b3800,aslB
b3800,ECK3793
b3800,atsB
b3800,gppB
b3800,EG10090
b3744,asnA
b3744,ECK3738
b3744,EG10091
b0674,asnB
b0674,ECK0662
b0674,EG10092
b3743,asnC
b3743,EG10093
b3743,ECK3737
b0930,asnS
b0930,tss
b0930,lcs
b0930,EG10094
b0930,ECK0921
b4139,aspA
b4139,ECK4133
b4139,EG10095
b0928,aspC
b0928,ECK0919
b0928,EG10096
b1866,aspS
b1866,ECK1867
b1866,EG10097
b1866,tls
b3734,atpA
b3734,papA
b3734,ECK3727
b3734,uncA
b3734,EG10098
b3738,atpB
b3738,papD
b3738,ECK3731
b3738,EG10099
b3738,uncB
b3731,atpC
b3731,ECK3724
b3731,EG10100
b3731,uncC
b3731,papG
b3732,atpD
b3732,EG10101
b3732,uncD
b3732,ECK3725
b3732,papB
b3737,atpE
b3737,EG10102
b3737,ECK3730
b3737,papH
b3737,uncE
