locus_tag,gene_name,start,end,strand
b0001,thrL,190,255,1
b0002,thrA,337,2799,1
b0003,thrB,2801,3733,1
b0004,thrC,3734,5020,1
b0005,yaaX,5234,5530,1
b0006,yaaA,5683,6459,-1
b0007,yaaJ,6529,7959,-1
b0008,talB,8238,9191,1
b0009,mog,9306,9893,1
b0010,satP,9928,10494,-1
b0011,yaaW,10643,11356,-1
b0012,mbiA,10830,11315,1
b0013,yaaI,11382,11786,-1
b0014,dnaK,12163,14079,1
b0015,dnaJ,14168,15298,1
b0016,insL-1,15445,16557,1
b4412,hokC,16751,16903,-1
b0018,mokC,16751,16960,-1
b0019,nhaA,17489,18655,1
b0020,nhaR,18715,19620,1
b0021,insB-1,19811,20314,-1
b0022,insA-1,20233,20508,-1
b0023,rpsT,20815,21078,-1
b0024,yaaY,21181,21399,1
b0025,ribF,21407,22348,1
b0026,ileS,22391,25207,1
b0027,lspA,25207,25701,1
b0028,fkpB,25826,26275,1
b0029,ispH,26277,27227,1
b0030,rihC,27293,28207,1
b0031,dapB,28374,29195,1
b0032,carA,29651,30799,1
b0033,carB,30817,34038,1
b0034,caiF,34300,34695,1
b0035,caiE,34781,35371,-1
b0036,caiD,35377,36162,-1
b0037,caiC,36271,37824,-1
b0038,caiB,37898,39115,-1
b0039,caiA,39244,40386,-1
b0040,caiT,40417,41931,-1
b0041,fixA,42403,43173,1
b0042,fixB,43188,44129,1
b0043,fixC,44180,45466,1
b0044,fixX,45463,45750,1
b0045,yaaU,45807,47138,1
b0046,kefF,47246,47776,1
b0047,kefC,47769,49631,1
b0048,folA,49823,50302,1
b0049,apaH,50380,51222,-1
b0050,apaG,51229,51606,-1
b0051,rsmA,51609,52430,-1
b0052,pdxA,52427,53416,-1
b0053,surA,53416,54702,-1
b0054,lptD,54755,57109,-1
b0055,djlA,57364,58179,1
b0056,yabP,58474,59124,1
b0057,yabQ,59121,59279,1
b0058,rluA,59687,60346,-1
b0059,rapA,60358,63264,-1
b0060,polB,63429,65780,-1
b0061,araD,65855,66550,-1
b0062,araA,66835,68337,-1
b0063,araB,68348,70048,-1
b0064,araC,70387,71265,1
b0065,yabI,71351,72115,1
b0066,thiQ,72229,72927,-1
b0067,thiP,72911,74521,-1
b0068,thiB,74497,75480,-1
b0069,sgrR,75644,77299,-1
b4662,sgrT,77388,77519,1
b0070,setA,77621,78799,1
b0071,leuD,78848,79453,-1
b0072,leuC,79464,80864,-1
b0073,leuB,80867,81958,-1
b0074,leuA,81958,83529,-1
b0075,leuL,83622,83708,-1
b0076,leuO,84368,85312,1
b4726,yabR,85467,85511,-1
b0077,ilvI,85630,87354,1
b0078,ilvH,87357,87848,1
b0080,cra,88028,89032,1
b0081,mraZ,89634,90092,1
b0082,rsmH,90094,91035,1
b0083,ftsL,91032,91397,1
b0084,ftsI,91413,93179,1
b0085,murE,93166,94653,1
b0086,murF,94650,96008,1
b0087,mraY,96002,97084,1
b0088,murD,97087,98403,1
b0089,ftsW,98403,99647,1
b0090,murG,99644,100711,1
b0091,murC,100765,102240,1
b0092,ddlB,102233,103153,1
b0093,ftsQ,103155,103985,1
b0094,ftsA,103982,105244,1
b0095,ftsZ,105305,106456,1
b0096,lpxC,106557,107474,1
b0097,secM,107705,108217,1
b0098,secA,108279,110984,1
b0099,mutT,111044,111433,1
b0101,yacG,111649,111846,-1
b0102,zapD,111856,112599,-1
b0103,coaE,112599,113219,-1
b4727,yacM,113244,113288,1
b0104,guaC,113444,114487,1
b0106,hofC,114522,115724,-1
b0107,hofB,115714,117099,-1
b0108,ppdD,117109,117549,-1
b0109,nadC,117752,118645,-1
b0110,ampD,118733,119284,1
b0111,ampE,119281,120135,1
b0112,aroP,120178,121551,-1
b0113,pdhR,122092,122856,1
b0114,aceE,123017,125680,1
b0115,aceF,125695,127587,1
b0116,lpd,127912,129336,1
b0117,yacH,129407,131260,-1
b0118,acnB,131615,134212,1
b0119,yacL,134388,134750,1
b0120,speD,134788,135582,-1
b0121,speE,135598,136464,-1
b0122,yacC,136570,136917,-1
b0123,cueO,137083,138633,1
b0124,gcd,138835,141225,-1
b0125,hpt,141431,141967,1
b0126,can,142008,142670,-1
b0127,yadG,142779,143705,1
b0128,yadH,143702,144472,1
b0129,yadI,144577,145017,1
b0130,yadE,145081,146310,1
b0131,panD,146314,146694,-1
b0132,rpnC,146968,147870,1
b0133,panC,147944,148795,-1
b0134,panB,148807,149601,-1
b0135,yadC,149715,150953,-1
b0136,yadK,151003,151599,-1
b0137,yadL,151626,152231,-1
b0138,yadM,152243,152812,-1
b0139,htrE,152829,155426,-1
b0140,yadV,155461,156201,-1
b0141,yadN,156299,156883,-1
b0142,folK,157253,157732,-1
b0143,pcnB,157729,159126,-1
b0144,gluQ,159186,160112,-1
b0145,dksA,160149,160604,-1
b0146,sfsA,160782,161486,-1
b0147,thpR,161501,162031,-1
b0148,hrpB,162105,164534,1
b0149,mrcB,164730,167264,1
b0150,fhuA,167484,169727,1
b0151,fhuC,169778,170575,1
b0152,fhuD,170575,171465,1
b0153,fhuB,171462,173444,1
b0154,hemL,173602,174882,-1
b0155,clcA,175107,176528,1
b4728,yadW,176552,176617,1
b0156,erpA,176610,176954,1
b0157,yadS,177001,177624,-1
b0158,btuF,177662,178462,-1
b0159,mtn,178455,179153,-1
b0160,dgt,179237,180754,1
b0161,degP,180884,182308,1
b0162,cdaR,182463,183620,1
b0163,yaeH,183709,184095,-1
b0164,yaeI,184257,185069,-1
b0166,dapD,185123,185947,-1
b0167,glnD,185978,188650,-1
b0168,map,188712,189506,-1
b0169,rpsB,189874,190599,1
b0170,tsf,190857,191708,1
b0171,pyrH,191855,192580,1
b0172,frr,192872,193429,1
b0173,dxr,193521,194717,1
b0174,ispU,194903,195664,1
b0175,cdsA,195677,196534,1
b0176,rseP,196546,197898,1
b0177,bamA,197928,200360,1
b0178,skp,200482,200967,1
b0179,lpxD,200971,201996,1
b0180,fabZ,202101,202556,1
b0181,lpxA,202560,203348,1
b0182,lpxB,203348,204496,1
b0183,rnhB,204493,205089,1
b0184,dnaE,205126,208608,1
b0185,accA,208621,209580,1
b0186,ldcC,209679,211820,1
b0187,yaeR,211877,212266,1
b0188,tilS,212331,213629,1
b0189,rof,213678,213932,-1
b4406,yaeP,213925,214125,-1
b0190,yaeQ,214291,214836,1
b0191,arfB,214833,215255,1
b0192,nlpE,215269,215979,1
b0193,yaeF,216179,217003,-1
b0194,proS,217057,218775,-1
b0195,trmO,218887,219594,-1
b0196,rcsF,219591,219995,-1
b0197,metQ,220113,220928,-1
b0198,metI,220968,221621,-1
b0199,metN,221614,222645,-1
b0200,gmhB,222833,223408,1
b0207,dkgB,229167,229970,1
b0208,yafC,229967,230881,-1
b0209,yafD,231122,231922,1
b0210,yafE,231926,232549,1
b0211,mltD,232597,233955,-1
b0212,gloB,234027,234782,-1
b0213,yafS,234816,235538,1
b0214,rnhA,235535,236002,-1
b0215,dnaQ,236067,236798,1
b0217,yafT,237335,238120,1
b4586,ykfM,238257,238736,-1
b0218,yafU,238746,239084,-1
b4503,yafF,239190,239378,1
b0219,yafV,239419,240189,-1
b0220,ivy,240343,240816,1
b0221,fadE,240859,243303,-1
b0222,lpcA,243543,244121,1
b0223,yafJ,244327,245094,1
b0224,yafK,245065,245805,-1
b0225,yafQ,245961,246239,-1
b0226,dinJ,246242,246502,-1
b0227,yafL,246712,247461,1
b0228,rayT,247637,248134,1
b0229,lfhA,248358,250070,-1
b0230,lafU,250072,250827,1
b0231,dinB,250898,251953,1
b0232,yafN,252005,252298,1
b0233,yafO,252301,252699,1
b0234,yafP,252709,253161,1
b0235,ykfJ,253467,253733,1
b0236,prfH,253702,254202,1
b0237,pepD,254259,255716,-1
b0238,gpt,255977,256435,1
b0239,frsA,256527,257771,1
b0240,crl,257829,257899,1
b4710,insB9,257923,258426,-1
b4709,insA9,258345,258620,-1
b0241,phoE,259045,260100,-1
b0242,proB,260388,261491,1
b0243,proA,261503,262756,1
b4626,ykfN,263150,263212,-1
b0245,ykfI,263328,263669,-1
b0246,yafW,263690,264007,-1
b4504,ykfH,264026,264247,-1
b0247,ykfG,264256,264732,-1
b0248,yafX,264748,265206,-1
b0249,ykfF,265304,265543,-1
b0250,ykfB,265620,266087,-1
b0251,yafY,266110,266553,-1
b0252,yafZ,267184,268005,-1
b0253,ykfA,268097,268960,-1
b0254,perR,269289,270182,-1
b4587,insN,270278,270540,1
b0256,insI-1,270603,271754,1
b0258,ykfC,272847,273992,1
b0259,insH-1,274101,275117,-1
b0260,mmuP,275325,276728,1
b0261,mmuM,276715,277647,1
b0262,afuC,277756,278802,-1
b0263,afuB,278814,279162,-1
b0264,insB-2,279178,279681,-1
b0265,insA-2,279600,279875,-1
b0266,yagB,280385,280735,-1
b0267,yagA,280829,281983,-1
b0268,yagE,282278,283186,1
b0269,yagF,283201,285168,1
b0270,yagG,285395,286777,1
b0271,yagH,286789,288399,1
b0272,xynR,288404,289162,-1
b0273,argF,289301,290305,-1
b4688,ykgS,290510,290638,1
b0274,insB-3,290649,291152,-1
b0275,insA-3,291071,291346,-1
b0276,yagJ,291500,292231,1
b0277,yagK,292322,292948,-1
b0278,yagL,293220,293918,-1
b0279,yagM,293945,294799,-1
b4729,ykgV,294918,295142,-1
b0280,yagN,295139,295579,-1
b0281,intF,295696,297096,-1
b0282,yagP,297381,297791,-1
b0283,paoD,297770,298726,-1
b0284,paoC,298736,300934,-1
b0285,paoB,300931,301887,-1
b0286,paoA,301884,302573,-1
b0287,yagU,302991,303605,1
b0288,ykgJ,303853,304182,-1
b0289,ecpE,304495,305205,-1
b0290,ecpD,305174,306817,-1
b0291,ecpC,306807,309332,-1
b0292,ecpB,309358,310026,-1
b0293,ecpA,310084,310671,-1
b0294,ecpR,310746,311336,-1
b0295,ykgL,312112,312339,1
b4506,ykgO,312374,312514,-1
b0296,ykgM,312514,312777,-1
b4671,ykgR,313141,313242,-1
b4630,ykgP,313716,313805,-1
b0297,eaeH,314357,315244,1
b0298,insE-1,315291,315590,1
b0299,insF-1,315587,316453,1
b0300,ykgA,316450,317136,-1
b0301,rclC,317726,318319,-1
b0303,rclB,318331,318567,-1
b0304,rclA,318676,320001,-1
b0305,rclR,320227,321081,1
b0306,ykgE,321608,322327,1
b0307,ykgF,322338,323765,1
b0308,ykgG,323758,324453,1
b0310,ykgH,324696,325364,-1
b0311,betA,325577,327247,-1
b0312,betB,327261,328733,-1
b0313,betI,328747,329334,-1
b0314,betT,329463,331496,1
b4730,yahV,331802,331876,1
b0315,pdeL,332371,333459,1
b0316,yahB,333501,334433,-1
b0317,yahC,334525,335022,-1
b0318,yahD,335280,335885,1
b0319,yahE,335925,336788,1
b0320,yahF,336778,338325,1
b0321,yahG,338325,339743,1
b0322,yahH,339793,340089,1
b0323,yahI,340165,341115,1
b0324,yahJ,341125,342507,1
b0325,yahK,342884,343933,1
b0326,yahL,344176,344991,1
b0327,yahM,345404,345649,1
b0328,yahN,345666,346337,-1
b0329,yahO,346484,346759,1
b0330,prpR,346857,348443,-1
b0331,prpB,348682,349572,1
b0333,prpC,350012,351181,1
b0334,prpD,351215,352666,1
b0335,prpE,352706,354592,1
b0336,codB,354922,356181,1
b0337,codA,356171,357454,1
b0338,cynR,357791,358690,-1
b0339,cynT,358799,359458,1
b0340,cynS,359489,359959,1
b0341,cynX,359992,361146,1
b0342,lacA,361249,361860,-1
b0343,lacY,361926,363179,-1
b0344,lacZ,363231,366305,-1
b0345,lacI,366428,367510,-1
b0346,mhpR,367587,368420,-1
b0347,mhpA,368611,370275,1
b0348,mhpB,370277,371221,1
b0349,mhpC,371239,372105,1
b0350,mhpD,372115,372924,1
b0351,mhpF,372921,373871,1
b0352,mhpE,373868,374881,1
b0353,mhpT,375459,376670,1
b0354,yaiL,376772,377311,1
b0355,frmB,377535,378368,-1
b0356,frmA,378462,379571,-1
b0357,frmR,379606,379881,-1
b0358,yaiO,380069,380842,-1
b4579,yaiX,380844,381260,-1
b0360,insC-1,381351,381716,1
b0361,insD-1,381674,382579,1
b0363,yaiP,382739,383935,-1
b4731,ykiC,383960,384079,1
b0364,yaiS,384059,384616,-1
b0365,tauA,385232,386194,1
b0366,tauB,386207,386974,1
b0367,tauC,386971,387798,1
b0368,tauD,387795,388646,1
b0369,hemB,388753,389727,-1
b4580,yaiT,390251,391708,1
b0372,insF-2,391739,392605,-1
b0373,insE-2,392602,392901,-1
b0375,iprA,394506,395129,1
b0376,ampH,395130,396287,-1
b0377,sbmA,396639,397859,1
b0378,yaiW,397872,398966,1
b0379,yaiY,399025,399333,-1
b0380,yaiZ,399593,399805,1
b0381,ddlA,399829,400923,-1
b0382,iraP,401386,401646,1
b0383,phoA,401747,403162,1
b0384,psiF,403281,403601,1
b0385,dgcC,403703,404818,1
b0386,proC,404835,405644,-1
b0387,yaiI,405764,406222,1
b0388,aroL,406405,406929,1
b0389,yaiA,406979,407170,1
b0390,aroM,407428,408105,1
b0391,ppnP,408177,408461,1
b0392,ykiA,408609,408950,1
b4732,ykiD,408947,409030,1
b0393,rdgC,409108,410019,-1
b0394,mak,410144,411052,1
b0396,araJ,411297,412481,-1
b0397,sbcC,412607,415753,-1
b0398,sbcD,415750,416952,-1
b0399,phoB,417142,417831,1
b0400,phoR,417889,419184,1
b0401,brnQ,419591,420910,1
b0402,proY,420986,422359,1
b0403,malZ,422518,424332,1
b0404,acpH,424337,424918,-1
b0405,queA,425011,426081,1
b0406,tgt,426137,427264,1
b0407,yajC,427287,427619,1
b0408,secD,427647,429494,1
b0409,secF,429505,430476,1
b0410,yajD,430605,430952,1
b0411,tsx,431129,432013,-1
b0412,yajI,432312,432851,-1
b0413,nrdR,433002,433451,1
b0414,ribD,433455,434558,1
b0415,ribE,434647,435117,1
b0416,nusB,435137,435556,1
b0417,thiL,435634,436611,1
b0418,pgpA,436589,437107,1
b0419,yajO,437161,438135,-1
b0420,dxs,438315,440177,-1
b0421,ispA,440202,441101,-1
b0422,xseB,441101,441343,-1
b0423,thiI,441549,442997,1
b0424,yajL,443051,443641,-1
b0425,panE,443604,444515,-1
b0426,yajQ,444683,445174,1
b0427,yajR,445302,446666,-1
b0428,cyoE,446815,447705,-1
b0429,cyoD,447717,448046,-1
b0430,cyoC,448046,448660,-1
b0431,cyoB,448650,450641,-1
b0432,cyoA,450663,451610,-1
b0433,ampG,452070,453545,-1
b0434,yajG,453589,454167,-1
b0435,bolA,454472,454789,1
b0436,tig,455133,456431,1
b0437,clpP,456677,457300,1
