,OPERON_ID,OPERON_NAME,REGULATIONPOSLEFT,REGULATIONPOSRIGHT,OPERON_STRAND
0,ECK120011191,rob,4634441,4635382,reverse
1,ECK120011203,argP,3059684,3060680,forward
2,ECK120011329,lrhA,2405703,2406866,reverse
3,ECK120011490,rtcR,3558268,3559866,forward
4,ECK120011629,lrp,932265,933089,forward
5,ECK120011939,norR,2830775,2832358,reverse
6,ECK120011950,mngR,765153,765955,reverse
7,ECK120012348,melR,4340720,4341853,reverse
8,ECK120013165,leuO,84000,85312,forward
9,ECK120013176,lysR,2978950,2979956,forward
10,ECK120013666,yeiL,2255057,2256014,forward
11,ECK120013781,xapR,2521334,2522563,reverse
12,ECK120014360,astCADBE,1825955,1832327,reverse
13,ECK120014361,pyrH,191718,192580,forward
14,ECK120014362,nrdHIEF,2800435,2804461,forward
15,ECK120014365,fkpA,3476607,3477525,reverse
16,ECK120014366,aqpZ,915352,916047,reverse
17,ECK120014367,dmsABC,940775,944896,forward
18,ECK120014368,moaABCDE,816781,819747,forward
19,ECK120014369,ptsG,1157063,1159302,forward
20,ECK120014371,ldcC,209599,211820,forward
21,ECK120014379,dnaAN-recF,3880148,3884040,reverse
22,ECK120014380,uspB,3639385,3639908,reverse
23,ECK120014381,gdhA,1842219,1843714,forward
24,ECK120014382,efp,4375567,4376265,forward
25,ECK120014383,sugE,4376699,4377192,forward
26,ECK120014384,chpSB,4448177,4449042,forward
27,ECK120014387,cbl,2059964,2060941,reverse
28,ECK120014389,ydeA,1616955,1618218,forward
29,ECK120014391,fliLMNOPQR,2019511,2023678,forward
30,ECK120014392,dctA,3682161,3683612,reverse
31,ECK120014393,fabB,2440283,2441688,reverse
32,ECK120014394,flxA,1646309,1646737,forward
33,ECK120014395,fliC,2002110,2003676,reverse
34,ECK120014396,tsr,4591396,4593312,forward
35,ECK120014397,trg,1492283,1494110,forward
36,ECK120014398,flgAMN,1129414,1130961,reverse
37,ECK120014400,aer,3217556,3219180,reverse
38,ECK120014402,ycgR,1243793,1244556,reverse
39,ECK120014404,cspA,3719741,3720316,forward
40,ECK120014405,nanATEK-yhcH,3369014,3373691,reverse
41,ECK120014406,dcuC,654583,656430,reverse
42,ECK120014407,sodB,1735222,1736114,forward
43,ECK120014408,asr,1671254,1671720,forward
44,ECK120014409,fxsA,4368603,4369140,forward
45,ECK120014410,ribA,1338512,1339268,reverse
46,ECK120014411,osmC,1556537,1557056,forward
47,ECK120014412,pth-ychF,1256721,1258542,reverse
48,ECK120014413,metK,3086506,3087860,forward
49,ECK120014415,cusCFBA,595450,601857,forward
50,ECK120014416,cusRS,593328,595529,reverse
51,ECK120014417,inaA,2348822,2349550,reverse
52,ECK120014418,iscRSUA,2659563,2662264,reverse
53,ECK120014419,dcuD,3374533,3376236,forward
54,ECK120014421,glcDEFGBA,3119597,3128259,reverse
55,ECK120014423,osmY,4610960,4612001,forward
56,ECK120014425,psiE,4240238,4240735,forward
57,ECK120014426,hpt,141284,141967,forward
58,ECK120014427,gcd,138801,141342,reverse
59,ECK120014428,mfd,1170518,1174028,reverse
60,ECK120014429,ybjC-nfsA-rimK-ybjN,890812,893433,forward
61,ECK120014431,metNIQ,220113,222747,reverse
62,ECK120014432,serA,3057178,3058639,reverse
63,ECK120014433,mhpABCDFE,368413,374881,forward
64,ECK120014436,treR,4466284,4467347,reverse
65,ECK120014437,mgrB,1908623,1908833,reverse
66,ECK120014438,topA,1330717,1333645,forward
67,ECK120014439,fiu,839249,841817,reverse
68,ECK120014440,exbBD,3150552,3152069,reverse
69,ECK120014441,fhuE,1159325,1161666,reverse
70,ECK120014442,gyrB,3877705,3880266,reverse
71,ECK120014443,sufABCDSE,1758874,1764658,reverse
72,ECK120014444,micF,2312868,2313210,forward
73,ECK120014445,narU,1542672,1544163,reverse
74,ECK120014448,amiA-hemF,2552241,2554124,forward
75,ECK120014450,trxA,3965613,3966090,forward
76,ECK120014451,trxC,2718610,2719154,forward
77,ECK120014452,copA,508875,511445,reverse
78,ECK120014454,cueO,137011,138633,forward
79,ECK120014455,chiA,3467160,3469896,reverse
80,ECK120014456,yhfG-fic-pabA,3490266,3491648,reverse
81,ECK120014458,cydAB,770848,774181,forward
82,ECK120014459,fldB,3039763,3040376,forward
83,ECK120014463,yhhX,3579768,3580805,reverse
84,ECK120014464,ygaC,2799650,2800604,reverse
85,ECK120014465,lpxP,2495578,2496565,forward
86,ECK120014468,cmk-rpsA-ihfB,961165,964112,forward
87,ECK120014469,hlyE,1229483,1230665,reverse
88,ECK120014470,rnb,1346942,1349129,reverse
89,ECK120014472,glnK-amtB,472461,474301,forward
90,ECK120014473,yiaKLMNO-lyxK-sgbHUE,3742558,3750781,forward
91,ECK120014475,rtcBA,3555833,3558175,reverse
92,ECK120014476,aspA-dcuA,4365472,4368551,reverse
93,ECK120014477,aroP,120144,121857,reverse
94,ECK120014478,nac,2061016,2062138,reverse
95,ECK120014479,phoPQ,1188316,1190524,reverse
